gen,genotype,true label,predicted label, confidence in wrong label
0,"[array([ 6, 11, 58, 32, 14]), array([ 28,  16, 231, 103,  60]), array([ 15,  12, 131, 106,  21])]",3,6,873.13855
0,"[array([  9,  10,  79,  85, 192]), array([25, 20, 44, 33, 43]), array([  6,  23, 113,  31, 197])]",3,6,657.6197
0,"[array([  2,  10, 250,  55, 154]), array([ 17,   9,  63, 170, 104]), array([ 30,  25, 147, 227,  46])]",3,6,790.50183
1,"[array([ 20,  24, 168, 124, 167]), array([ 22,  27,  32,  97, 117]), array([  7,  25,  72, 225,  46])]",3,6,623.17084
2,"[array([ 20,  24, 168, 124, 167]), array([ 22,  27,  32,  97, 117]), array([  7,  25,  72, 226,  36])]",3,6,621.9715
2,"[array([ 20,  24, 168, 124, 169]), array([ 22,  27,  37,  97, 117]), array([  7,  25,  72, 230,  46])]",3,6,623.3566
3,"[array([  4,  13,  67, 163,  47]), array([22, 12, 99, 33, 43]), array([  6,  23,  23, 253, 234])]",3,6,751.3787
3,"[array([ 20,  24, 168, 124, 168]), array([ 22,  27,  32,  95, 117]), array([  7,  20,  72, 226,  36])]",3,6,628.73975
3,"[array([ 20,  24, 165, 124, 166]), array([ 22,  27,  29,  93, 117]), array([  7,  25,  74, 235,  46])]",3,6,624.2251
3,"[array([  4,  20, 248,  58, 161]), array([ 17,   9,  64, 172, 102]), array([ 29,  27,  95,  63, 246])]",3,6,787.6039
4,"[array([ 21,  13,  67, 163,  47]), array([22, 12, 99, 36, 41]), array([  7,  26,  23, 254, 234])]",3,6,740.88947
4,"[array([ 20,  24, 165, 125, 166]), array([ 22,  27, 250, 178, 143]), array([ 22,  11, 198, 214,  41])]",3,6,619.211
4,"[array([  4,  13,  70, 163,  47]), array([ 20,  13,  99,  99, 112]), array([  0,   9, 128, 106,  41])]",3,6,740.6759
